"Common.Name","time.bin.group.num","bin.count.sum.avg.per.min","Time.day","afternoon.bin.count.sum.avg.per.min","bin.count.sum.avg.per.min.ratio.afternoon","Max","Chorus","percent.change.afternoon"
"American Crow",3,2.05813953488372,"dawn",1.24390243902439,0.503548870300303,2.05813953488372,0,65.4582763337893
"American Crow",5,2.22826086956522,"dusk",1.24390243902439,0.582967836069351,2.22826086956522,0,79.1346973572039
"American Goldfinch",3,2.65116279069767,"dawn",1.50135501355014,0.568630289994172,2.65116279069767,0,76.5846696331115
"American Goldfinch",5,0.445652173913043,"dusk",1.50135501355014,-1.21458455305149,1.50135501355014,0,-70.3166692826872
"American Robin",1,59.2842105263158,"dawn",2.02168021680217,3.3784140500741,59.2842105263158,1,2832.42274587271
"American Robin",6,44.4259259259259,"dusk",2.02168021680217,3.08989426011219,44.4259259259259,1,2097.47542448616
"Baltimore Oriole",1,0.684210526315789,"dawn",0.116531165311653,1.77010690664206,0.684210526315789,1,487.148102815177
"Baltimore Oriole",6,0.166666666666667,"dusk",0.116531165311653,0.357837059118913,0.166666666666667,0,43.0232558139539
"Barred Owl",1,1.78947368421053,"dawn",0.10840108401084,2.80383873537631,1.78947368421053,1,1550.78947368421
"Barred Owl",6,0.722222222222222,"dusk",0.10840108401084,1.89649478949196,0.722222222222222,1,566.249999999998
"Black-capped Chickadee",2,0.298245614035088,"dawn",0.579945799457995,-0.665017294759658,0.579945799457995,0,-48.5735366453517
"Black-capped Chickadee",5,1.90217391304348,"dusk",0.579945799457995,1.18781802589315,1.90217391304348,1,227.991670052824
"Blue Jay",3,2.98837209302326,"dawn",2.08943089430894,0.357837059118913,2.98837209302326,0,43.0232558139539
"Blue Jay",6,1.7037037037037,"dusk",2.08943089430894,-0.204087199038037,2.08943089430894,0,-18.4608733246866
"Brown Thrasher",2,5.24561403508772,"dawn",0.18970189701897,3.31969370754731,5.24561403508772,1,2665.18796992483
"Brown Thrasher",5,1.82608695652174,"dusk",0.18970189701897,2.26447680434539,1.82608695652174,1,862.608695652177
"Brown-headed Cowbird",3,1.74418604651163,"dawn",0.634146341463415,1.01176352652557,1.74418604651163,1,175.04472271914
"Brown-headed Cowbird",5,0.804347826086957,"dusk",0.634146341463415,0.237752044837955,0.804347826086957,0,26.8394648829431
"Canada Goose",3,2.73255813953488,"dawn",0.685636856368564,1.38264537320366,2.73255813953488,1,298.543064619911
"Canada Goose",6,0.944444444444444,"dusk",0.685636856368564,0.320248741473057,0.944444444444444,0,37.7470355731223
"Carolina Chickadee",2,8.29824561403509,"dawn",1.67750677506775,1.59873549201331,8.29824561403509,1,394.677323356855
"Carolina Chickadee",5,6.73913043478261,"dusk",1.67750677506775,1.39062227234603,6.73913043478261,1,301.734916063778
"Carolina Wren",3,1.47674418604651,"dawn",1.63956639566396,-0.104592023785234,1.63956639566396,0,-9.93080914856843
"Carolina Wren",5,1.90217391304348,"dusk",1.63956639566396,0.148565582884158,1.90217391304348,0,16.0168882500897
"Cedar Waxwing",3,2.56976744186047,"dawn",1.34688346883469,0.646022023208144,2.56976744186047,0,90.7935988021151
"Cedar Waxwing",5,1.72826086956522,"dusk",1.34688346883469,0.24932224311509,1.72826086956522,0,28.3155454465927
"Chipping Sparrow",2,0.684210526315789,"dawn",0.124661246612466,1.70266562584653,0.684210526315789,1,448.855835240275
"Chipping Sparrow",5,0.119565217391304,"dusk",0.124661246612466,-0.0417380566992394,0.124661246612466,0,-4.08790170132343
"Common Grackle",2,2.12280701754386,"dawn",0.769647696476965,1.01456168364151,2.12280701754386,1,175.815418828761
"Common Grackle",5,1.75,"dusk",0.769647696476965,0.821438193814743,1.75,1,127.37676056338
"Downy Woodpecker",3,1.41860465116279,"dawn",0.21680216802168,1.8784437578464,1.41860465116279,1,554.331395348841
"Downy Woodpecker",5,0.630434782608696,"dusk",0.21680216802168,1.06742444286403,0.630434782608696,1,190.788043478262
"Eastern Bluebird",3,2.1046511627907,"dawn",1.33333333333333,0.456467662560541,2.1046511627907,0,57.8488372093029
"Eastern Bluebird",5,0.956521739130435,"dusk",1.33333333333333,-0.332133835022612,1.33333333333333,0,-28.2608695652172
"Eastern Phoebe",1,0.189473684210526,"dawn",0.105691056910569,0.583729864206504,0.189473684210526,0,79.2712550607286
"Eastern Phoebe",6,0.037037037037037,"dusk",0.105691056910569,-1.04860186809345,0.105691056910569,0,-64.957264957265
"Eastern Towhee",3,9.2093023255814,"dawn",0.552845528455285,2.81289074575723,9.2093023255814,1,1565.80027359781
"Eastern Towhee",5,2.71739130434783,"dusk",0.552845528455285,1.59234899100952,2.71739130434783,1,391.528132992329
"Eurasian Collared-Dove",3,0.337209302325581,"dawn",0.21680216802168,0.441718543099612,0.337209302325581,0,55.5377906976744
"Eurasian Collared-Dove",5,0.25,"dusk",0.21680216802168,0.142475648246756,0.25,0,15.3125000000001
"European Starling",3,6.72093023255814,"dawn",3.17344173441734,0.750409852861681,6.72093023255814,1,111.786785295812
"European Starling",5,3.8804347826087,"dusk",3.17344173441734,0.201130485173411,3.8804347826087,0,22.2784316637585
"Field Sparrow",3,2.83720930232558,"dawn",0.501355013550135,1.7332617480019,2.83720930232558,1,465.908233815212
"Field Sparrow",5,0.41304347826087,"dusk",0.501355013550135,-0.19376159836045,0.501355013550135,0,-17.6145710928318
"Fish Crow",2,0.719298245614035,"dawn",0.43360433604336,0.506143627676459,0.719298245614035,0,65.888157894737
"Fish Crow",5,0.489130434782609,"dusk",0.43360433604336,0.120496741527981,0.489130434782609,0,12.8057065217393
"Golden-crowned Kinglet",2,0.403508771929825,"dawn",1.31707317073171,-1.18296903176537,1.31707317073171,0,-69.3632228719949
"Golden-crowned Kinglet",5,0.456521739130435,"dusk",1.31707317073171,-1.05953093862564,1.31707317073171,0,-65.3381642512078
"Green-winged Teal",1,0.221052631578947,"dawn",1.10027100271003,-1.60491096943833,1.10027100271003,0,-79.9092558983667
"Green-winged Teal",5,0.5,"dusk",1.10027100271003,-0.788703696121153,1.10027100271003,0,-54.5566502463055
"Hooded Merganser",3,0.325581395348837,"dawn",0.037940379403794,2.14959652834697,0.325581395348837,1,758.139534883725
"Hooded Merganser",6,0.0555555555555556,"dusk",0.037940379403794,0.381367556529106,0.0555555555555556,0,46.4285714285717
"House Finch",2,15.7017543859649,"dawn",11.7073170731707,0.293558413242678,15.7017543859649,0,34.1191520467838
"House Finch",5,11.6304347826087,"dusk",11.7073170731707,-0.00658868679071409,11.7073170731707,0,-0.65670289855041
"House Sparrow",2,11.3157894736842,"dawn",17.7967479674797,-0.452816693189225,17.7967479674797,0,-36.4165324228801
"House Sparrow",5,9.44565217391304,"dusk",17.7967479674797,-0.633461193934096,17.7967479674797,0,-46.924841599301
"Mourning Dove",2,9.73684210526316,"dawn",2.12737127371274,1.52102977217,9.73684210526316,1,357.693597049948
"Mourning Dove",5,5.39130434782609,"dusk",2.12737127371274,0.929900275934005,5.39130434782609,1,153.425643865965
"Northern Cardinal",2,18.7894736842105,"dawn",14.4634146341463,0.261674470319782,18.7894736842105,0,29.9103576817255
"Northern Cardinal",5,27.4565217391304,"dusk",14.4634146341463,0.64098139356798,27.4565217391304,0,89.8342987022512
"Northern Flicker",2,0.894736842105263,"dawn",1.3739837398374,-0.428939994660882,1.3739837398374,0,-34.8800996574277
"Northern Flicker",5,1.21739130434783,"dusk",1.3739837398374,-0.1210040653046,1.3739837398374,0,-11.3969642397735
"Northern Mockingbird",1,0.189473684210526,"dawn",0.669376693766938,-1.26209682629183,0.669376693766938,0,-71.6940123588324
"Northern Mockingbird",6,1.03703703703704,"dusk",0.669376693766938,0.437775951583427,1.03703703703704,0,54.9257759784079
"Northern Rough-winged Swallow",3,0.27906976744186,"dawn",0.0704607046070461,1.37640664011348,0.27906976744186,1,296.064400715562
"Northern Rough-winged Swallow",5,0.119565217391304,"dusk",0.0704607046070461,0.528806801768372,0.119565217391304,0,69.6906354515044
"Pileated Woodpecker",3,0.430232558139535,"dawn",0.371273712737127,0.14738633460312,0.430232558139535,0,15.8801561704296
"Pileated Woodpecker",6,0.537037037037037,"dusk",0.371273712737127,0.369127501634603,0.537037037037037,0,44.6472019464722
"Pine Siskin",3,0.558139534883721,"dawn",0.363143631436314,0.429810558744,0.558139534883721,0,53.6966331135024
"Pine Siskin",6,0.481481481481481,"dusk",0.363143631436314,0.282069335546824,0.481481481481481,0,32.587064676617
"Purple Finch",1,3.67368421052632,"dawn",1.52845528455285,0.876937423144353,3.67368421052632,1,140.35274356103
"Purple Finch",5,1.82608695652174,"dusk",1.52845528455285,0.177917794896684,1.82608695652174,0,19.4727104532836
"Purple Martin",2,0.491228070175439,"dawn",1.02168021680217,-0.732295301066831,1.02168021680217,0,-51.9195867653218
"Purple Martin",5,0.989130434782609,"dusk",1.02168021680217,-0.0323776139396754,1.02168021680217,0,-3.18590704647691
"Red-bellied Woodpecker",3,1.86046511627907,"dawn",1.14363143631436,0.486617848984837,1.86046511627907,0,62.6804805466773
"Red-bellied Woodpecker",5,0.532608695652174,"dusk",1.14363143631436,-0.764176948933896,1.14363143631436,0,-53.4282917782814
"Red-breasted Nuthatch",2,0.087719298245614,"dawn",0.233062330623306,-0.97716400761343,0.233062330623306,0,-62.3623011015912
"Red-breasted Nuthatch",5,0.173913043478261,"dusk",0.233062330623306,-0.292750507022238,0.233062330623306,0,-25.3791708796763
"Red-headed Woodpecker",3,1.02325581395349,"dawn",0.151761517615176,1.90843447153008,1.02325581395349,1,574.252491694354
"Red-headed Woodpecker",5,0.119565217391304,"dusk",0.151761517615176,-0.238448350945294,0.151761517615176,0,-21.2150621118014
"Red-shouldered Hawk",3,0.267441860465116,"dawn",0.658536585365854,-0.901117879624381,0.658536585365854,0,-59.3884582256676
"Red-shouldered Hawk",5,0.33695652173913,"dusk",0.658536585365854,-0.670066171863917,0.658536585365854,0,-48.8325281803544
"Red-tailed Hawk",3,0.162790697674419,"dawn",0.195121951219512,-0.181159441613774,0.195121951219512,0,-16.5697674418602
"Red-tailed Hawk",6,0.37037037037037,"dusk",0.195121951219512,0.640878752014189,0.37037037037037,0,89.8148148148149
"Red-winged Blackbird",2,3.33333333333333,"dawn",1.15447154471545,1.06033010209709,3.33333333333333,1,188.732394366196
"Red-winged Blackbird",5,9.57608695652174,"dusk",1.15447154471545,2.11562634665829,9.57608695652174,1,729.477954684624
"Rock Pigeon",3,0.104651162790698,"dawn",0.241192411924119,-0.834962444608897,0.241192411924119,0,-56.6109223935195
"Rock Pigeon",5,0.423913043478261,"dusk",0.241192411924119,0.563933343388995,0.423913043478261,0,75.7572056668298
"Ruby-crowned Kinglet",2,0.491228070175439,"dawn",0.143631436314363,1.22965797282906,0.491228070175439,1,242.005958291957
"Ruby-crowned Kinglet",5,0.282608695652174,"dusk",0.143631436314363,0.676812691460848,0.282608695652174,0,96.7596390484005
"Song Sparrow",2,8.73684210526316,"dawn",2.65582655826558,1.19079288156601,8.73684210526316,1,228.968850698173
"Song Sparrow",5,3.29347826086957,"dusk",2.65582655826558,0.215188300836241,3.29347826086957,0,24.0095385980482
"Tree Swallow",3,8.73255813953488,"dawn",5.07046070460705,0.543626673277063,8.73255813953488,0,72.2241557182452
"Tree Swallow",5,0.260869565217391,"dusk",5.07046070460705,-2.96716642893466,5.07046070460705,0,-94.8551111937351
"Tufted Titmouse",3,4.18604651162791,"dawn",8.0189701897019,-0.650053273163034,8.0189701897019,0,-47.7982033527983
"Tufted Titmouse",5,0.5,"dusk",8.0189701897019,-2.77495718891963,8.0189701897019,0,-93.7647854004731
"White-breasted Nuthatch",3,1.08139534883721,"dawn",1.2059620596206,-0.109025441225967,1.2059620596206,0,-10.3292396132743
"White-breasted Nuthatch",5,3.05434782608696,"dusk",1.2059620596206,0.92928845415899,3.05434782608696,1,153.270639960918
"White-throated Sparrow",2,8.92982456140351,"dawn",1.6639566395664,1.68019846460935,8.92982456140351,1,436.662094976852
"White-throated Sparrow",6,14.7962962962963,"dusk",1.6639566395664,2.18517861509538,14.7962962962963,1,789.223669923991
"Wild Turkey",1,0.252631578947368,"dawn",0.0975609756097561,0.95145464433182,0.252631578947368,1,158.947368421052
"Wild Turkey",5,0.152173913043478,"dusk",0.0975609756097561,0.444546458150634,0.152173913043478,0,55.978260869565
"Yellow-throated Warbler",3,0.511627906976744,"dawn",0.303523035230352,0.522140110410187,0.511627906976744,0,68.5631229235882
"Yellow-throated Warbler",5,0.0108695652173913,"dusk",0.303523035230352,-3.32949080430361,0.303523035230352,0,-96.4188664596273
